,precision,recall,f1-score,support
0,0.8466666666666667,0.889,0.8673170731707318,1000.0
1,0.9929577464788732,0.987,0.9899699097291875,1000.0
2,0.8660194174757282,0.892,0.8788177339901478,1000.0
3,0.929735234215886,0.913,0.9212916246215943,1000.0
4,0.8988648090815273,0.871,0.8847130523108176,1000.0
5,0.9858728557013118,0.977,0.9814163736815671,1000.0
6,0.7927461139896373,0.765,0.7786259541984734,1000.0
7,0.961576354679803,0.976,0.9687344913151364,1000.0
8,0.9801192842942346,0.986,0.9830508474576272,1000.0
9,0.9709418837675351,0.969,0.96996996996997,1000.0
accuracy,0.9225,0.9225,0.9225,0.9225
macro avg,0.9225500366351204,0.9225,0.9223907030445254,10000.0
weighted avg,0.9225500366351204,0.9225,0.9223907030445253,10000.0
