,precision,recall,f1-score,support
0,0.8549946294307197,0.796,0.8244432936302434,1000.0
1,0.992827868852459,0.969,0.9807692307692308,1000.0
2,0.7982541222114452,0.823,0.8104382077794191,1000.0
3,0.8901322482197355,0.875,0.8825012607160867,1000.0
4,0.8087487283825026,0.795,0.8018154311649016,1000.0
5,0.9745417515274949,0.957,0.9656912209889,1000.0
6,0.6437098255280074,0.701,0.6711345141215893,1000.0
7,0.9249278152069298,0.961,0.9426189308484552,1000.0
8,0.9730538922155688,0.975,0.9740259740259739,1000.0
9,0.9634146341463414,0.948,0.9556451612903225,1000.0
accuracy,0.88,0.88,0.88,0.88
macro avg,0.8824605515721204,0.8799999999999999,0.8809083225335123,10000.0
weighted avg,0.8824605515721204,0.88,0.8809083225335121,10000.0
