,precision,recall,f1-score,support
0,0.8652694610778443,0.867,0.8661338661338661,1000.0
1,0.9898887765419616,0.979,0.9844142785319256,1000.0
2,0.8515625,0.872,0.8616600790513834,1000.0
3,0.9063745019920318,0.91,0.908183632734531,1000.0
4,0.8500967117988395,0.879,0.8643067846607669,1000.0
5,0.9743336623889437,0.987,0.9806259314456035,1000.0
6,0.773784355179704,0.732,0.7523124357656731,1000.0
7,0.9596456692913385,0.975,0.9672619047619048,1000.0
8,0.9849548645937813,0.982,0.9834752128192289,1000.0
9,0.9805128205128205,0.956,0.9681012658227849,1000.0
accuracy,0.9139,0.9139,0.9139,0.9139
macro avg,0.9136423323377267,0.9138999999999999,0.9136475391727668,10000.0
weighted avg,0.9136423323377265,0.9139,0.9136475391727669,10000.0
