,precision,recall,f1-score,support
0,0.8560311284046692,0.88,0.8678500986193294,1000.0
1,0.9959432048681541,0.982,0.9889224572004028,1000.0
2,0.8639921722113503,0.883,0.8733926805143423,1000.0
3,0.902321083172147,0.933,0.9174041297935104,1000.0
4,0.8627254509018036,0.861,0.8618618618618619,1000.0
5,0.9819639278557114,0.98,0.9809809809809811,1000.0
6,0.7776572668112798,0.717,0.7460978147762746,1000.0
7,0.9549019607843138,0.974,0.9643564356435644,1000.0
8,0.9791044776119403,0.984,0.9815461346633416,1000.0
9,0.9756838905775076,0.963,0.969300452944137,1000.0
accuracy,0.9157,0.9157,0.9157,0.9157
macro avg,0.9150324563198877,0.9156999999999998,0.9151713046997747,10000.0
weighted avg,0.9150324563198877,0.9157,0.9151713046997746,10000.0
