,precision,recall,f1-score,support
0,0.869653767820774,0.854,0.8617558022199798,1000.0
1,0.9919517102615694,0.986,0.9889669007021062,1000.0
2,0.8495742667928098,0.898,0.8731161886242099,1000.0
3,0.9358452138492872,0.919,0.9273461150353178,1000.0
4,0.8667324777887463,0.878,0.8723298559364133,1000.0
5,0.983,0.983,0.983,1000.0
6,0.7733333333333333,0.754,0.7635443037974683,1000.0
7,0.9588638589618022,0.979,0.9688273132112815,1000.0
8,0.9848942598187311,0.978,0.9814350225790266,1000.0
9,0.9816887080366226,0.965,0.9732728189611699,1000.0
accuracy,0.9194,0.9194,0.9194,0.9194
macro avg,0.9195537596663677,0.9194000000000001,0.9193594321066973,10000.0
weighted avg,0.9195537596663677,0.9194,0.9193594321066972,10000.0
