,precision,recall,f1-score,support
0,0.8439646712463199,0.86,0.8519068845963348,1000.0
1,0.9979445015416238,0.971,0.9842878864673087,1000.0
2,0.8922594142259415,0.853,0.8721881390593047,1000.0
3,0.9273461150353178,0.919,0.923154193872426,1000.0
4,0.8655544651619235,0.882,0.8736998514115899,1000.0
5,0.9716520039100685,0.994,0.9826989619377163,1000.0
6,0.74373795761079,0.772,0.7576054955839058,1000.0
7,0.9731610337972167,0.979,0.9760717846460617,1000.0
8,0.9859578736208626,0.983,0.9844767150726089,1000.0
9,0.9856850715746421,0.964,0.974721941354904,1000.0
accuracy,0.9177,0.9177,0.9177,0.9177
macro avg,0.9187263107724706,0.9177,0.918081185400216,10000.0
weighted avg,0.9187263107724706,0.9177,0.9180811854002162,10000.0
