,precision,recall,f1-score,support
0,0.8816986855409504,0.872,0.8768225238813474,1000.0
1,0.9959390862944163,0.981,0.9884130982367759,1000.0
2,0.8693126815101646,0.898,0.8834235120511559,1000.0
3,0.9077809798270894,0.945,0.9260166585007349,1000.0
4,0.9037199124726477,0.826,0.8631138975966561,1000.0
5,0.986986986986987,0.986,0.9864932466233116,1000.0
6,0.7676669893514037,0.793,0.780127889818003,1000.0
7,0.9607843137254902,0.98,0.9702970297029702,1000.0
8,0.982982982982983,0.982,0.9824912456228114,1000.0
9,0.977710233029382,0.965,0.9713135379969804,1000.0
accuracy,0.9228,0.9228,0.9228,0.9228
macro avg,0.9234582851721516,0.9228,0.9228512640030747,10000.0
weighted avg,0.9234582851721514,0.9228,0.9228512640030747,10000.0
