,precision,recall,f1-score,support
0,0.8582677165354331,0.872,0.8650793650793651,1000.0
1,0.9939271255060729,0.982,0.9879275653923542,1000.0
2,0.8589251439539347,0.895,0.8765915768854065,1000.0
3,0.8840304182509505,0.93,0.9064327485380117,1000.0
4,0.8564547206165704,0.889,0.872423945044161,1000.0
5,0.9887179487179487,0.964,0.9762025316455696,1000.0
6,0.8004640371229699,0.69,0.7411385606874329,1000.0
7,0.9445506692160612,0.988,0.9657869012707723,1000.0
8,0.984984984984985,0.984,0.9844922461230615,1000.0
9,0.9765784114052953,0.959,0.9677093844601413,1000.0
accuracy,0.9153,0.9153,0.9153,0.9153
macro avg,0.9146901176310223,0.9152999999999999,0.9143784825126275,10000.0
weighted avg,0.9146901176310223,0.9153,0.9143784825126277,10000.0
