,precision,recall,f1-score,support
0,0.8570019723865878,0.869,0.8629592850049653,1000.0
1,0.9979612640163099,0.979,0.9883897021706209,1000.0
2,0.8828828828828829,0.882,0.8824412206103052,1000.0
3,0.8855534709193246,0.944,0.9138431752178121,1000.0
4,0.884102564102564,0.862,0.8729113924050632,1000.0
5,0.99079754601227,0.969,0.9797775530839231,1000.0
6,0.7711340206185567,0.748,0.7593908629441624,1000.0
7,0.9424736337488016,0.983,0.9623103279490944,1000.0
8,0.9888776541961577,0.978,0.9834087481146304,1000.0
9,0.9766497461928934,0.962,0.9692695214105793,1000.0
accuracy,0.9176,0.9176,0.9176,0.9176
macro avg,0.9177434755076348,0.9176,0.9174701788911156,10000.0
weighted avg,0.9177434755076349,0.9176,0.9174701788911156,10000.0
