,precision,recall,f1-score,support
0,0.8802083333333334,0.845,0.8622448979591837,1000.0
1,0.9909547738693467,0.986,0.9884711779448622,1000.0
2,0.9131378935939196,0.841,0.8755856324830817,1000.0
3,0.932446264073695,0.911,0.9215983813859383,1000.0
4,0.8446139180171592,0.886,0.864812103465105,1000.0
5,0.9811320754716981,0.988,0.9845540607872446,1000.0
6,0.7290322580645161,0.791,0.7587529976019185,1000.0
7,0.9560117302052786,0.978,0.9668808699950568,1000.0
8,0.9801587301587301,0.988,0.9840637450199202,1000.0
9,0.9846153846153847,0.96,0.9721518987341772,1000.0
accuracy,0.9174,0.9174,0.9174,0.9174
macro avg,0.919231136140306,0.9174,0.9179115765376489,10000.0
weighted avg,0.9192311361403063,0.9174,0.9179115765376488,10000.0
