,precision,recall,f1-score,support
0,0.8349056603773585,0.885,0.8592233009708737,1000.0
1,0.9989785495403473,0.978,0.988377968671046,1000.0
2,0.8925531914893617,0.839,0.8649484536082475,1000.0
3,0.8945841392649904,0.925,0.9095378564405112,1000.0
4,0.8364312267657993,0.9,0.8670520231213873,1000.0
5,0.9888211382113821,0.973,0.9808467741935484,1000.0
6,0.7933333333333333,0.714,0.7515789473684209,1000.0
7,0.956140350877193,0.981,0.9684106614017769,1000.0
8,0.9742574257425742,0.984,0.9791044776119403,1000.0
9,0.9757820383451059,0.967,0.9713711702661978,1000.0
accuracy,0.9146,0.9146,0.9146,0.9146
macro avg,0.9145787053947444,0.9145999999999999,0.914045163365395,10000.0
weighted avg,0.9145787053947446,0.9146,0.9140451633653951,10000.0
