,precision,recall,f1-score,support
0,0.8380864765409384,0.911,0.8730234786775275,1000.0
1,0.9959390862944163,0.981,0.9884130982367759,1000.0
2,0.8813056379821959,0.891,0.886126305320736,1000.0
3,0.9276985743380856,0.911,0.9192734611503532,1000.0
4,0.897119341563786,0.872,0.8843813387423936,1000.0
5,0.9918200408997955,0.97,0.9807886754297269,1000.0
6,0.7989473684210526,0.759,0.7784615384615384,1000.0
7,0.9426386233269598,0.986,0.9638318670576735,1000.0
8,0.981169474727453,0.99,0.9855649576903932,1000.0
9,0.9785714285714285,0.959,0.9686868686868686,1000.0
accuracy,0.923,0.923,0.923,0.923
macro avg,0.9233296052666111,0.923,0.9228551589453986,10000.0
weighted avg,0.9233296052666112,0.923,0.9228551589453987,10000.0
