,precision,recall,f1-score,support
0,0.7642725598526704,0.83,0.7957813998082455,1000.0
1,0.9779643231899265,0.932,0.9544290834613416,1000.0
2,0.6602760736196319,0.861,0.7473958333333333,1000.0
3,0.8051087984862819,0.851,0.8274185707340788,1000.0
4,0.8161559888579387,0.586,0.6821885913853318,1000.0
5,0.973421926910299,0.879,0.9238045191802418,1000.0
6,0.6822977725674091,0.582,0.6281705342687532,1000.0
7,0.8769804287045666,0.941,0.9078630004823927,1000.0
8,0.9399014778325123,0.954,0.9468982630272952,1000.0
9,0.9142581888246628,0.949,0.9313052011776252,1000.0
accuracy,0.8365,0.8365,0.8365,0.8365
macro avg,0.8410637538845899,0.8365,0.8345254996858639,10000.0
weighted avg,0.84106375388459,0.8365,0.8345254996858639,10000.0
